col_nm,col_abs,ex1_nm,ex1_abs,ex2_nm,ex2_abs,ex3_nm,ex3_abs,ex4_nm,ex4_nm
190,0.331,190,0.618,190,0.522,190,0.303,190,0.21
191,0.343,191,0.646,191,0.578,191,0.268,191,0.223
192,0.318,192,0.662,192,0.58,192,0.321,192,0.276
193,0.397,193,0.601,193,0.64,193,0.353,193,0.364
194,0.466,194,0.573,194,0.59,194,0.323,194,0.35
195,0.466,195,0.475,195,0.45,195,0.475,195,0.377
196,0.307,196,0.357,196,0.339,196,0.357,196,0.357
197,0.254,197,0.228,197,0.163,197,0.228,197,0.228
198,0.134,198,0.163,198,0.144,198,0.163,198,0.163
199,0,199,0,199,0,199,0,199,0
200,0,200,0,200,0,200,0,200,0
201,0,201,0,201,0,201,0,201,0
202,0,202,0,202,0,202,0,202,0
203,0,203,0,203,0,203,0,203,0
204,0,204,0,204,0,204,0,204,0
205,0,205,0,205,0,205,0,205,0
206,0,206,0,206,0,206,0,206,0
207,0,207,0,207,0,207,0,207,0
208,0,208,0,208,0,208,0,208,0
209,0,209,0,209,0,209,0,209,0
210,0,210,0,210,0,210,0,210,0
211,0,211,0,211,0,211,0,211,0
212,0,212,0,212,0,212,0,212,0
213,0,213,0,213,0,213,0,213,0
214,0,214,0,214,0,214,0,214,0
215,0,215,0,215,0,215,0,215,0
216,0,216,0,216,0,216,0,216,0
217,0,217,0,217,0,217,0,217,0
218,0,218,0,218,0,218,0,218,0
219,0,219,0,219,0,219,0,219,0
220,0,220,0,220,0,220,0,220,0
221,0,221,0,221,0,221,0,221,0
222,0,222,0,222,0,222,0,222,0
223,0,223,0,223,0,223,0,223,0
224,0,224,0,224,0,224,0,224,0
225,0,225,0,225,0,225,0,225,0
226,0,226,0,226,0,226,0,226,0
227,0,227,0,227,0,227,0,227,0
228,0,228,0,228,0,228,0,228,0
229,0,229,0,229,0,229,0,229,0
230,0,230,0,230,0,230,0,230,0
231,0,231,0,231,0,231,0,231,0
232,0,232,0,232,0,232,0,232,0
233,0,233,0,233,0,233,0,233,0
234,0,234,0,234,0,234,0,234,0
235,0,235,0,235,0,235,0,235,0
236,0,236,0,236,0,236,0,236,0
237,0,237,0,237,0,237,0,237,0
238,0,238,0,238,0,238,0,238,0
239,0,239,0,239,0,239,0,239,0
240,0,240,0,240,0,240,0,240,0
241,0,241,0,241,0,241,0,241,0
242,0,242,0,242,0,242,0,242,0
243,0,243,0,243,0,243,0,243,0
244,0,244,0,244,0,244,0,244,0
245,0,245,0,245,0,245,0,245,0
246,0,246,0,246,0,246,0,246,0
247,0,247,0,247,0,247,0,247,0
248,0,248,0,248,0,248,0,248,0
249,0,249,0,249,0,249,0,249,0
250,0,250,0,250,0,250,0,250,0
251,0,251,0,251,0,251,0,251,0
252,0.043,252,0.079,252,0.007,252,0.079,252,0.079
253,0.05,253,0.132,253,0.065,253,0.132,253,0.132
254,0.174,254,0.141,254,0.104,254,0.141,254,0.141
255,0.178,255,0.193,255,0.178,255,0.193,255,0.193
256,0.265,256,0.225,256,0.197,256,0.225,256,0.225
257,0.283,257,0.261,257,0.255,257,0.261,257,0.261
258,0.272,258,0.3,258,0.309,258,0.3,258,0.3
259,0.356,259,0.35,259,0.335,259,0.35,259,0.35
260,0.36,260,0.376,260,0.364,260,0.376,260,0.376
261,0.403,261,0.387,261,0.382,261,0.387,261,0.387
262,0.416,262,0.404,262,0.453,262,0.404,262,0.404
263,0.46,263,0.475,263,0.463,263,0.475,263,0.475
264,0.453,264,0.483,264,0.461,264,0.483,264,0.483
265,0.524,265,0.487,265,0.499,265,0.487,265,0.487
266,0.559,266,0.539,266,0.514,266,0.493,266,0.444
267,0.542,267,0.553,267,0.554,267,0.501,267,0.553
268,0.586,268,0.577,268,0.561,268,0.577,268,0.506
269,0.585,269,0.594,269,0.602,269,0.572,269,0.513
270,0.591,270,0.605,270,0.561,270,0.532,270,0.44
271,0.593,271,0.504,271,0.617,271,0.499,271,0.458
272,0.521,272,0.689,272,0.595,272,0.538,272,0.499
273,0.548,273,0.658,273,0.613,273,0.613,273,0.487
274,0.56,274,0.549,274,0.687,274,0.516,274,0.442
275,0.537,275,0.65,275,0.556,275,0.561,275,0.543
276,0.552,276,0.562,276,0.661,276,0.546,276,0.56
277,0.607,277,0.677,277,0.701,277,0.62,277,0.521
278,0.551,278,0.64,278,0.643,278,0.595,278,0.503
279,0.61,279,0.624,279,0.759,279,0.658,279,0.566
280,0.65,280,0.764,280,0.746,280,0.643,280,0.622
